               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065267,             0.05086,            0.026484,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070395,           0.0032895,           0.0032895
                   1,            0.044031,            0.039274,            0.024884,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039739,           0.0059671,           0.0059671
                   2,            0.032641,            0.033289,            0.021115,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084234,           0.0079848,           0.0079848
                   3,             0.02415,            0.031439,            0.018067,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.021036,            0.029975,            0.017125,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.018597,            0.028629,            0.016001,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.017074,            0.027705,            0.014892,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.015607,            0.026948,            0.014427,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.014603,            0.026091,            0.013294,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                   9,             0.01358,            0.025568,            0.012664,             0.74548,             0.85291,              0.8405,             0.66778,            0.015903,            0.016237,            0.019211,             0.00208,             0.00208,             0.00208
                   0,            0.090942,            0.061538,            0.028343,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070973,           0.0023252,           0.0023252
                   1,            0.061728,            0.043516,            0.026598,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.05057,            0.004218,            0.004218
                   2,            0.049386,            0.041463,            0.022022,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0297,           0.0056443,           0.0056443
                   3,            0.033356,            0.040783,            0.019755,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083642,            0.006604,            0.006604
                   4,            0.025657,            0.039608,            0.018898,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057863,           0.0057863,           0.0057863
                   5,            0.024404,            0.038036,            0.018122,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057863,           0.0057863,           0.0057863
                   6,            0.022097,            0.036781,            0.017138,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048379,           0.0048379,           0.0048379
                   7,            0.020651,            0.035752,            0.016256,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038895,           0.0038895,           0.0038895
                   8,             0.01915,            0.034889,            0.015404,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029411,           0.0029411,           0.0029411
                   9,            0.018008,            0.033894,            0.014533,             0.75554,             0.83285,             0.83627,             0.60041,             0.02688,            0.021533,            0.019817,           0.0019926,           0.0019926,           0.0019926
                   0,            0.066204,            0.036588,            0.025557,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.061352,           0.0040722,           0.0040722
                   1,            0.044479,            0.026914,            0.021721,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.042342,           0.0073871,           0.0073871
                   2,            0.035677,            0.024039,            0.018488,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.022516,           0.0098849,           0.0098849
                   3,            0.026174,            0.023165,             0.01731,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010306,            0.010306,            0.010306
