   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.74548,             0.85291,              0.8405,             0.66778,            0.015903,            0.016237,            0.019211,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.75531,             0.84598,             0.84269,             0.66497,            0.016166,             0.01632,            0.019362,             0.00997,             0.01013,             0.93869,              0.0005,              3.0161,             0.79786,                 0.1,             0.05009,                 0.5,               1.008,                   1,              1.0025,                 0.2,              4.0197,                   0,               0.015,             0.70196,             0.39995,                   0,             0.09952,                 0.5,                   0,                   0,                   0,                 0.5,              0.9988,                   0,                   0,                   3
             0.75096,             0.86255,             0.84845,             0.66956,            0.015944,            0.016397,            0.018045,             0.01043,                0.01,               0.937,             0.00045,              2.9368,             0.76313,                 0.1,             0.05081,             0.49766,             0.97312,                   1,              1.0184,                 0.2,              3.6861,                   0,             0.01283,             0.72635,             0.43103,                   0,             0.10195,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8056
             0.76873,             0.83818,             0.84431,             0.66862,            0.015803,            0.016797,            0.019155,                0.01,             0.01068,             0.93424,             0.00048,              2.9002,                 0.8,             0.09802,             0.04949,             0.47523,              1.0313,                   1,              1.0454,                 0.2,                   4,                   0,               0.015,             0.69298,             0.39318,                   0,             0.09325,             0.46397,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8692
             0.74346,             0.85289,             0.83726,             0.65418,            0.015709,            0.013998,            0.017227,              0.0095,                0.01,             0.97444,             0.00057,              2.7674,             0.89093,             0.11477,                0.05,              0.4725,             0.94575,             0.88451,             0.98209,                 0.2,              3.8624,                   0,             0.01534,             0.50591,             0.46419,                   0,             0.10899,             0.71405,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.6827
             0.75848,             0.84363,             0.83907,             0.66207,            0.016396,            0.015815,            0.019396,             0.00915,                0.01,             0.93869,             0.00053,              3.2993,             0.79604,             0.10206,             0.05156,               0.462,              1.0761,              1.0929,             0.89767,                 0.2,              4.0197,                   0,             0.01343,             0.70462,             0.32623,                   0,             0.11507,              0.4973,                   0,                   0,                   0,                 0.5,                0.98,                   0,                   0,              2.5256
             0.73728,             0.84618,             0.83496,             0.65337,            0.016536,            0.016291,             0.02005,             0.01066,                0.01,             0.93556,              0.0005,              3.3985,             0.74664,             0.09562,             0.04988,             0.50888,               1.008,                   1,              1.0178,                 0.2,              4.0197,                   0,             0.01509,             0.71934,             0.41689,                   0,             0.09952,             0.49374,                   0,                   0,                   0,                 0.5,              0.9988,                   0,                   0,              2.6118
             0.76549,             0.84977,             0.84486,             0.65797,            0.016498,            0.011919,            0.016995,             0.00952,             0.01077,             0.86855,              0.0005,              3.0161,             0.85242,                 0.1,             0.04988,             0.44648,              1.0103,             0.72392,              1.0158,                 0.2,              3.3108,                   0,               0.015,             0.71886,             0.39995,                   0,             0.10209,             0.43028,                   0,                   0,                   0,                 0.5,              0.9988,                   0,                   0,              2.4393
             0.77131,             0.83695,             0.84588,             0.66476,            0.016011,            0.016191,            0.020685,             0.00996,             0.01009,             0.93814,              0.0005,              3.0204,             0.79732,             0.10019,             0.05001,                 0.5,               1.008,                   1,               1.006,                 0.2,              4.0163,                   0,             0.01496,             0.70241,             0.40218,                   0,             0.09952,              0.5003,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.74073,             0.84243,             0.83278,             0.65829,            0.017946,            0.016885,            0.017777,                0.01,                0.01,               0.937,              0.0005,              2.9153,                0.95,              0.0951,              0.0546,             0.49863,                   1,              1.1448,             0.83414,                 0.2,              2.7389,                   0,             0.01621,             0.58876,             0.39341,                   0,                 0.1,             0.46204,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.76646,             0.82112,             0.84247,             0.66396,            0.015502,            0.015802,              0.0189,             0.00985,             0.01003,               0.937,             0.00049,                   3,             0.80873,             0.09954,                0.05,             0.49874,             0.96208,              1.0054,             0.97869,                 0.2,              3.8427,                   0,             0.01532,             0.71215,                 0.4,                   0,             0.10215,             0.48223,                   0,                   0,                   0,                 0.5,             0.98523,                   0,                   0,              3.1294
             0.72373,             0.83425,             0.81006,             0.63423,            0.014685,            0.016928,            0.025152,             0.01172,             0.01001,               0.937,             0.00055,              2.9989,             0.86054,             0.11439,             0.04667,             0.50027,              1.0919,              1.0414,             0.98396,                 0.2,                   4,                   0,               0.015,             0.69614,             0.42456,                   0,             0.10256,             0.50872,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.5553
             0.75853,             0.83329,             0.82993,             0.63456,            0.017657,            0.018775,            0.020604,             0.01002,             0.01215,             0.91439,             0.00055,              3.2272,             0.71155,             0.11654,             0.04785,             0.54607,             0.92813,              1.1463,                   1,                 0.2,              2.9465,                   0,             0.01514,             0.77865,             0.29844,                   0,             0.09322,              0.4598,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.2899
