   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.73063,              0.8406,              0.8188,             0.65388,            0.016054,            0.016694,            0.020585,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.73853,             0.82374,             0.81887,             0.65377,            0.016004,            0.016555,            0.020733,             0.01005,             0.01002,               0.936,              0.0005,              3.0088,             0.80262,                 0.1,             0.05004,             0.50122,              1.0039,                   1,             0.99498,                 0.2,                   4,                   0,             0.01499,             0.69927,             0.40034,                   0,             0.10025,             0.49943,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.72933,             0.81917,             0.81923,             0.65274,            0.015557,            0.016726,            0.018166,             0.00917,             0.01011,             0.96073,              0.0005,                   3,                 0.8,             0.09469,                0.05,                 0.5,             0.76273,              1.0138,             0.99757,                 0.2,              4.0591,                   0,              0.0162,                 0.7,             0.32617,                   0,             0.10341,             0.48698,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               2.745
             0.73624,              0.8156,             0.81945,             0.65137,            0.015975,            0.021734,            0.022231,             0.00853,             0.01187,                0.98,              0.0005,              3.4883,             0.68095,             0.08513,             0.05081,             0.62032,             0.76828,              1.2052,              1.1565,                 0.2,              4.4829,                   0,             0.00984,             0.69321,             0.38564,                   0,             0.11461,             0.37481,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0842
             0.73793,              0.8148,             0.81212,             0.64527,            0.016175,            0.016096,            0.021222,             0.01031,                0.01,             0.93727,              0.0005,              2.9447,             0.81271,             0.10219,             0.04998,               0.511,             0.99615,             0.96119,              1.0105,                 0.2,                   4,                   0,             0.01469,             0.69927,             0.40034,                   0,             0.09953,              0.5101,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9401
             0.72957,             0.82271,             0.82357,             0.65201,             0.01507,            0.021537,            0.024177,             0.00853,             0.01187,                0.98,             0.00047,              3.4758,             0.68441,             0.08513,             0.04869,             0.63748,             0.73823,              1.2003,              1.1565,                 0.2,              4.4474,                   0,             0.00991,             0.74383,             0.43224,                   0,             0.11461,             0.37481,                   0,                   0,                   0,                 0.5,             0.86144,                   0,                   0,              2.5968
             0.72626,             0.82653,             0.81439,              0.6451,            0.016126,             0.02564,            0.021971,             0.00759,             0.01229,             0.97979,             0.00044,              3.2364,             0.66405,             0.09294,             0.05115,             0.60938,             0.73823,              1.2798,               1.308,                 0.2,              4.1487,                   0,             0.01164,             0.71375,             0.39158,                   0,             0.12597,             0.35432,                   0,                   0,                   0,                 0.5,             0.92599,                   0,                   0,              2.7192
             0.73975,             0.81665,             0.81914,             0.64916,            0.018323,            0.018886,            0.019808,             0.00784,             0.01134,                0.98,             0.00047,              2.9672,             0.74558,             0.09627,             0.05922,             0.63748,             0.60631,               1.244,             0.90218,                 0.2,              5.1176,                   0,             0.00871,                 0.9,             0.35256,                   0,              0.1129,             0.42998,                   0,                   0,                   0,                 0.5,             0.90709,                   0,                   0,              2.2938
             0.70559,             0.83927,             0.80323,             0.64519,            0.015183,            0.011757,             0.03449,             0.01005,                0.01,             0.93052,             0.00039,              2.3487,             0.67403,              0.0988,             0.04835,             0.73662,              1.0141,             0.76949,              0.8961,                 0.2,              5.7098,                   0,              0.0086,             0.75342,             0.35162,                   0,             0.10924,             0.37481,                   0,                   0,                   0,                 0.5,             0.79386,                   0,                   0,              2.5968
             0.69902,             0.84695,             0.81564,             0.65445,            0.014682,            0.022204,            0.023866,             0.00853,             0.01145,             0.97648,             0.00046,              3.4758,             0.68441,             0.08781,             0.04778,             0.59741,             0.75274,              1.2793,              1.1313,                 0.2,              4.1911,                   0,             0.00955,             0.72405,             0.46156,                   0,             0.11461,             0.37778,                   0,                   0,                   0,                 0.5,             0.84222,                   0,                   0,              2.5154
